0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15  
================================ 
4 9 2 1 3 6 7 5 8 4 11 10 12 13 14 15  
2 6 3 5 4 7 1 9 6 8 10 11 13 12 15 14  
5 1 7 7 2 9 3 6 4 10 8 12 11 14 13 16  
6 2 5 3 1 3 9 4 7 11 12 8 10 15 16 13  
8 7 4 6 9 5 2 1 3 9 13 15 14 10 11 12  
7 3 1 10 6 4 4 8 9 5 14 13 15 11 2 0  
1 8 6 9 7 10 11 2 5 3 4 14 16 0 12 11  
9 4 10 11 5 1 8 3 12 13 3 6 2 7 0 0  
3 5 9 4 8 2 6 7 1 1 15 16 0 0 10 0  
4 9 11 1 3 6 7 10 8 2 2 5 0 13 0 0  
10 6 3 5 11 8 12 9 2 7 10 1 4 16 0 0  
5 10 8 12 2 9 3 6 4 14 1 7 11 0 7 0  
11 2 12 3 1 13 5 4 10 6 7 9 8 8 0 0  
12 7 4 8 10 11 2 1 13 16 5 15 3 6 6 9  
13 11 1 2 6 4 10 8 14 12 9 3 5 0 2 7  
1 8 6 9 12 14 13 2 5 15 16 4 7 3 0 10 
